TP9,AF7,AF8,TP10
4.883,22.949,8.789,23.926
19.531,22.461,5.371,28.32
20.508,19.531,11.23,25.391
30.273,14.16,21.484,37.109
24.902,22.461,16.602,38.086
17.578,25.391,15.137,28.809
18.555,25.879,16.602,20.508
30.273,30.273,14.16,11.23
44.922,23.926,28.809,13.184
28.809,21.484,31.738,20.996
14.648,29.297,25.879,21.484
22.461,26.855,25.391,21.973
38.086,25.391,32.715,23.438
39.551,27.344,40.527,27.832
17.09,24.902,38.086,18.555
9.766,24.902,33.203,8.301
9.277,24.414,28.32,8.789
12.207,26.367,20.996,5.859
32.227,27.344,20.02,7.812
21.973,21.484,30.273,8.301
6.348,18.066,27.832,10.254
9.277,18.066,19.043,9.277
19.531,19.043,18.555,5.859
31.738,19.531,24.902,7.324
28.809,20.02,20.508,14.16
25.391,20.508,15.625,26.855
21.484,20.02,9.766,20.996
27.344,20.996,11.23,19.531
49.316,20.02,22.461,28.809
47.363,18.066,21.973,24.902
31.738,17.09,21.484,23.438
19.043,14.16,20.508,21.484
39.062,12.207,12.207,26.855
49.805,16.602,20.508,23.926
35.645,15.137,25.391,20.02
25.391,9.277,21.973,23.926
12.695,10.254,21.973,23.926
31.25,13.672,21.973,23.926
34.668,12.695,22.461,24.414
21.484,8.789,23.438,23.926
16.602,5.859,20.02,21.973
2.93,6.348,14.648,11.23
21.484,9.277,16.602,6.348
39.062,15.625,27.344,16.602
30.273,7.324,38.574,24.902
30.273,2.93,33.203,19.043
28.32,10.254,25.391,11.719
29.297,8.301,24.902,9.277
39.551,14.16,32.227,16.113
41.504,18.066,35.156,16.602
33.203,11.23,29.785,20.508
21.484,12.695,23.926,18.555
18.066,23.438,14.16,13.672
31.25,22.461,12.207,15.625
37.109,16.113,26.367,24.902
25.391,15.625,28.32,28.32
13.672,21.484,19.043,18.066
20.02,23.438,5.371,16.113
23.438,19.531,3.906,15.137
26.367,22.949,11.23,14.16
27.832,19.531,9.277,14.16
12.695,12.207,6.836,7.812
-7.812,11.719,-0.977,-1.953
3.906,16.602,0.0,0.0
25.879,29.297,10.254,5.371
17.09,32.715,9.766,4.395
12.207,29.297,13.672,5.859
7.812,29.297,12.207,5.859
12.207,24.902,9.277,2.441
23.926,20.02,20.02,2.441
15.625,20.996,21.484,9.766
20.508,22.461,17.578,12.695
14.16,21.973,11.719,4.883
4.883,14.648,13.672,0.488
25.391,15.625,18.555,0.488
16.113,28.32,18.066,2.441
0.488,31.25,19.531,4.395
-4.395,26.855,12.207,-0.488
5.371,27.832,7.324,-7.324
24.414,31.738,13.672,-1.953
13.184,31.738,23.926,12.695
-0.488,27.344,26.855,12.207
0.0,19.531,17.578,7.812
13.672,15.137,10.742,15.625
28.32,20.508,16.113,21.973
33.691,29.297,20.02,28.32
28.809,34.18,16.602,27.344
13.672,34.668,14.16,16.113
12.695,31.25,10.254,5.371
51.758,30.762,18.066,9.766
52.734,34.668,23.926,17.578
14.16,35.156,22.461,11.719
4.883,33.203,20.996,6.836
4.395,30.273,8.789,1.465
15.625,28.809,16.602,0.0
20.996,30.273,35.645,2.441
16.113,23.438,36.133,-3.906
21.973,11.719,33.691,0.488
1.465,-4.883,30.762,8.301
-4.883,-14.16,35.645,-6.348
-3.906,-10.742,41.016,-21.973
-13.672,-17.578,35.156,-19.531
