TP9,AF7,AF8,TP10
30.762,15.625,29.785,0.977
26.367,13.672,28.32,0.0
21.484,14.16,28.32,2.93
11.719,15.625,26.367,0.977
17.578,16.113,22.461,-1.465
32.715,17.578,22.461,-0.977
30.273,17.09,21.973,0.977
15.625,15.625,19.531,-3.418
2.93,16.113,19.531,-13.184
12.207,17.09,20.02,-10.742
27.344,16.113,20.996,-5.371
20.02,15.137,23.926,-4.883
12.695,19.043,24.902,-6.836
4.395,17.09,23.926,-11.23
13.672,16.113,23.438,-9.277
31.25,21.484,21.484,-2.441
26.367,23.438,17.578,-1.953
19.531,24.902,17.578,-4.883
6.348,21.484,17.09,-7.324
12.695,21.484,13.672,-7.812
29.785,25.391,16.602,-5.859
28.809,23.926,19.531,-3.906
25.391,21.973,21.973,-1.465
16.113,21.484,23.438,5.371
14.16,21.973,25.879,8.789
27.832,21.973,29.785,6.836
30.273,20.02,30.762,9.766
27.344,19.531,31.738,18.066
23.438,20.508,30.273,18.555
21.973,20.02,27.344,15.625
36.133,21.484,28.32,17.578
32.227,20.02,35.645,10.254
21.484,19.531,36.621,11.719
14.16,19.043,37.598,13.672
16.113,14.16,38.086,16.113
38.086,19.043,33.203,24.902
39.551,23.438,33.691,16.113
24.414,20.02,33.691,7.324
16.602,16.602,33.691,7.812
7.812,7.324,37.598,14.648
26.367,0.0,41.016,25.879
41.504,6.348,34.18,17.09
24.902,11.719,26.367,4.883
21.484,13.184,22.461,3.906
15.625,20.996,16.602,-2.93
22.949,25.879,12.695,-2.93
32.227,22.949,19.531,5.859
22.461,16.113,26.855,8.789
22.461,12.207,28.32,7.812
14.16,15.137,29.785,10.742
10.254,20.996,26.855,4.883
25.391,23.926,20.996,-1.953
32.227,29.785,16.602,3.906
24.902,31.738,13.672,2.441
4.395,28.809,14.648,-7.812
0.0,25.879,20.02,-8.301
20.508,23.926,21.973,-0.977
27.832,23.438,21.484,1.465
26.367,25.879,23.438,-2.93
19.531,27.832,21.484,-8.789
19.043,26.367,20.508,-5.859
36.133,26.855,23.438,0.977
37.598,25.879,27.344,-0.488
21.973,20.996,30.273,-3.418
11.719,16.602,33.203,2.441
18.555,15.625,32.715,8.301
37.109,21.484,26.855,8.789
36.133,24.902,25.879,4.883
21.973,22.461,27.832,-2.441
10.742,20.996,28.32,-2.93
13.184,21.973,26.367,2.441
34.18,23.926,24.414,4.395
37.598,23.926,24.414,6.348
28.32,20.996,27.832,8.789
21.484,18.066,27.832,5.859
19.043,18.555,21.973,2.441
34.18,19.043,19.043,0.488
40.039,20.996,17.578,2.441
31.738,24.414,16.602,6.836
24.902,24.414,14.648,3.418
17.09,25.391,11.719,-5.859
32.715,26.367,12.695,-3.906
36.621,22.461,15.137,-7.324
22.949,17.09,18.066,-10.254
17.578,15.625,22.949,-5.371
15.625,12.695,27.832,3.906
28.32,15.137,25.879,13.184
34.18,22.949,17.09,11.719
27.832,21.973,16.602,13.184
20.996,19.531,20.508,16.602
4.395,18.066,19.531,8.301
7.324,15.137,19.531,5.371
32.227,14.648,23.926,18.066
40.527,16.602,24.902,26.855
31.738,19.531,21.973,18.555
19.043,21.973,18.555,10.254
21.973,21.973,16.113,8.301
37.109,20.508,17.09,9.766
40.039,20.02,18.555,11.719
32.227,20.996,20.996,6.348
14.648,20.996,19.043,-3.906
12.207,23.926,14.648,-11.23
33.691,27.344,11.719,-2.441
36.621,26.367,15.625,0.977
23.926,24.902,21.973,-2.93
17.09,25.879,22.949,-4.395
12.695,26.367,22.461,-4.395
23.926,25.391,24.902,0.488
36.133,23.438,27.832,6.836
33.203,27.344,25.879,13.184
22.461,32.715,21.484,6.348
15.137,30.762,21.484,0.977
31.738,27.344,24.902,5.371
39.062,29.785,26.367,8.301
31.25,28.32,27.832,8.301
22.949,22.949,30.762,4.883
13.184,23.438,29.297,0.488
30.273,25.391,25.391,1.465
44.434,25.391,20.996,3.906
36.133,25.391,23.926,3.906
25.391,22.949,28.32,0.0
17.578,22.461,22.461,-4.395
26.367,22.949,20.508,-2.441
37.109,26.367,23.926,0.488
35.645,27.832,24.414,3.906
26.367,27.832,22.461,5.371
16.602,29.785,19.043,2.441
26.367,28.809,16.113,0.488
39.551,25.879,17.578,-1.465
37.598,26.367,21.973,3.418
32.227,26.367,22.461,5.371
20.02,21.973,20.996,-0.977
