TP9,AF7,AF8,TP10
43.457,39.551,48.828,19.043
57.617,40.039,48.34,23.438
41.504,41.016,47.852,25.879
26.855,39.551,49.316,24.414
20.02,38.086,49.805,22.461
49.316,39.062,43.457,29.297
59.082,43.457,37.109,29.785
39.551,44.922,36.133,29.297
19.043,32.715,35.156,29.297
4.395,25.391,35.645,27.344
36.133,31.738,38.086,33.691
57.129,35.645,38.086,38.086
41.016,40.527,42.48,32.227
20.02,39.551,41.016,24.414
8.789,40.039,37.598,21.973
40.527,46.387,39.062,30.762
58.105,44.434,35.645,32.227
37.598,37.109,32.227,25.391
19.531,39.062,34.18,22.949
2.93,45.898,39.062,19.043
23.926,41.992,39.551,15.625
53.711,31.25,32.227,20.02
40.039,33.691,30.762,17.09
19.043,39.062,39.551,11.23
-0.977,33.691,35.645,4.395
11.23,30.273,32.227,3.418
46.875,31.738,39.062,17.09
43.457,31.738,39.551,19.531
23.438,33.203,40.527,15.625
8.301,38.574,34.668,13.184
23.438,42.969,32.715,16.602
59.57,41.016,36.621,20.508
52.246,35.645,33.203,17.09
34.18,35.156,34.668,20.02
19.531,35.645,35.156,21.484
22.461,36.621,34.18,23.926
59.082,36.133,30.273,34.668
58.105,32.715,27.832,36.133
37.109,35.156,27.832,27.344
20.02,36.621,23.438,24.414
17.09,34.668,23.438,20.02
48.34,31.738,19.531,17.578
53.711,34.668,19.531,20.508
38.574,38.574,27.344,14.648
22.461,40.039,23.438,7.812
17.578,43.945,22.949,3.418
49.316,39.062,29.785,2.93
62.012,35.645,29.297,9.277
44.922,40.527,27.832,11.23
25.391,38.086,32.715,9.766
18.066,36.621,40.527,12.695
51.27,38.574,44.922,21.484
71.289,38.574,44.434,30.273
58.105,36.621,40.039,32.715
35.645,28.809,36.133,24.902
19.531,28.809,39.551,19.043
45.898,33.691,43.945,22.461
71.289,33.691,39.062,28.809
53.223,34.18,45.898,25.391
31.738,35.156,50.293,21.973
17.09,35.645,46.387,23.438
36.621,33.691,47.852,25.391
65.918,33.691,41.504,28.809
57.129,33.203,39.062,25.879
39.551,32.715,39.062,23.926
24.902,33.691,36.133,23.926
48.34,33.203,39.062,25.879
81.055,33.691,40.039,28.809
67.871,32.227,43.457,25.879
45.41,34.18,49.316,22.461
20.996,33.203,42.969,14.648
25.391,27.344,39.062,8.789
54.688,32.227,44.922,12.207
50.781,34.18,51.27,13.672
30.273,33.203,48.828,7.324
11.719,34.668,40.527,1.953
22.461,28.809,39.062,6.836
55.664,24.902,37.109,12.695
52.734,30.762,35.645,11.719
37.109,39.062,37.598,16.602
20.02,42.969,37.109,14.16
23.438,38.574,39.551,9.277
57.129,31.25,37.109,15.625
56.641,26.855,33.203,18.555
40.527,28.32,34.668,16.113
19.043,31.738,33.691,14.648
15.137,32.715,35.645,16.113
55.176,34.668,38.574,20.508
64.453,39.062,40.039,25.391
42.48,40.527,41.504,28.809
19.531,37.109,40.527,22.949
12.207,39.062,40.039,15.137
44.922,41.504,45.898,18.555
53.711,41.016,51.27,19.043
33.203,43.945,48.828,13.184
17.578,40.039,43.945,10.254
3.906,36.133,44.922,7.812
32.715,41.016,41.504,10.254
55.176,40.527,40.527,14.648
38.574,41.504,45.41,14.16
17.09,41.992,45.41,8.789
2.441,39.062,41.504,4.883
28.809,38.574,43.457,6.836
47.852,41.504,43.457,7.812
36.133,42.48,41.992,6.836
22.949,39.551,43.457,6.348
5.859,37.109,40.527,6.348
32.715,35.156,40.039,13.184
59.082,35.156,43.457,19.531
45.898,35.156,45.41,16.602
32.715,38.086,43.945,21.484
15.137,42.48,40.527,21.484
31.25,41.504,36.133,20.508
58.105,38.086,29.297,29.785
45.41,32.715,29.297,27.344
21.484,31.738,35.156,13.672
-2.93,34.668,36.133,4.395
11.719,39.062,33.203,-0.977
43.457,43.457,28.32,2.93
36.621,46.387,22.949,7.324
23.438,47.363,23.438,10.742
5.371,41.504,21.484,8.301
12.695,35.645,20.996,8.301
53.711,39.551,24.414,17.09
49.316,40.527,25.391,15.137
30.762,39.062,28.32,12.207
15.137,44.434,33.203,10.254
16.113,48.34,40.527,10.254
54.688,45.41,40.039,23.926
59.082,41.504,38.574,27.832
38.086,41.016,40.527,24.414
16.113,39.062,37.109,21.973
9.277,37.598,35.645,17.578
50.781,40.039,37.109,25.879
