TP9,AF7,AF8,TP10
22.461,43.457,-33.691,22.461
35.645,45.41,-8.789,29.785
49.316,47.363,29.785,47.852
33.691,46.387,11.719,49.316
18.066,44.434,-19.531,35.645
17.578,42.48,-27.832,33.691
31.25,36.621,-22.949,33.691
42.969,36.621,4.395,32.227
30.273,39.062,17.09,34.668
20.02,36.621,-8.301,34.18
19.043,36.133,-18.555,29.785
28.809,34.18,-12.207,33.691
49.805,42.48,7.812,41.992
40.039,43.457,0.0,35.156
23.438,33.691,-19.043,26.855
17.578,32.227,-34.668,20.02
29.785,29.297,-38.086,20.02
48.828,32.227,-4.883,35.156
41.504,32.715,7.324,41.992
31.25,30.273,2.93,36.621
26.855,37.109,10.254,29.297
39.551,38.574,-17.09,34.18
52.246,38.086,0.977,38.086
43.945,38.574,43.945,41.992
38.574,33.691,16.113,40.527
24.902,32.227,-14.16,25.879
30.762,35.645,-32.227,23.438
55.664,38.574,-4.395,32.715
49.316,38.574,8.789,40.039
28.809,35.156,-18.555,38.086
18.555,38.574,-21.484,21.973
26.367,43.945,-16.602,13.184
44.922,41.016,-7.324,20.02
42.969,41.016,15.137,25.879
29.297,41.992,11.719,27.344
18.555,45.898,-6.348,20.508
25.391,45.898,-20.02,16.113
44.434,40.527,0.0,26.367
44.922,41.504,45.41,33.691
32.227,40.039,48.828,32.227
21.973,34.18,20.508,24.902
21.973,26.855,3.418,16.602
45.41,32.227,28.32,23.926
57.617,39.551,60.059,38.574
29.297,30.762,38.574,24.902
9.766,24.414,3.906,6.348
14.16,24.902,4.883,7.812
32.715,27.344,17.09,13.672
39.551,36.133,39.551,17.09
23.438,39.062,27.344,20.996
12.695,33.203,-5.371,18.555
17.578,36.133,-14.16,15.137
32.715,34.668,-18.066,29.297
42.969,31.25,12.207,43.457
32.227,34.18,34.668,41.016
16.602,33.691,15.625,32.715
14.16,31.738,-12.207,24.902
27.344,30.273,-16.113,27.344
39.062,37.109,12.207,37.109
31.25,41.016,5.859,36.621
18.066,41.992,-25.391,29.297
13.184,41.504,-41.992,19.043
26.855,38.086,-29.785,18.555
41.992,44.922,-4.395,26.367
31.25,50.293,-2.93,28.32
17.09,41.992,-18.066,24.902
9.766,36.133,-24.902,17.578
15.137,36.133,-16.602,15.137
32.227,37.109,-23.438,19.531
26.855,43.457,-10.742,23.438
16.602,41.504,-5.859,20.508
11.719,34.18,-31.25,9.277
20.996,34.668,-37.598,13.672
42.969,39.062,-14.648,27.832
38.086,39.551,3.418,28.809
20.02,33.691,-10.742,21.484
9.766,33.691,-19.043,13.672
16.602,35.645,-22.949,15.625
32.715,31.738,-22.949,20.02
28.32,37.598,11.23,22.461
20.508,45.898,19.043,28.32
13.184,42.969,11.23,21.484
11.23,37.598,12.695,11.719
31.738,39.551,16.113,21.484
38.574,41.016,34.18,30.762
20.996,36.621,24.902,26.367
4.883,29.785,0.488,15.137
2.93,26.855,-1.953,6.836
22.461,32.227,-0.977,13.184
32.227,35.645,5.371,16.113
21.484,36.621,6.836,11.23
9.277,37.598,-0.488,5.371
3.906,32.227,-9.277,-0.977
26.855,14.16,3.418,18.555
64.941,20.996,30.273,53.711
44.434,41.016,19.531,35.156
-8.301,37.598,-9.766,-11.719
-10.742,36.133,-20.02,-29.297
14.648,42.969,-32.227,-26.367
15.137,51.27,-18.555,-31.25
-0.488,54.688,-3.418,-39.551
-11.719,53.711,-41.992,-48.34
-18.555,56.152,-38.086,-62.5
-13.672,51.758,-13.672,-61.523
-7.324,48.828,-6.836,-49.316
-10.254,50.293,8.789,-33.203
-16.602,49.316,2.441,-33.203
-17.09,53.223,-9.277,-37.598
0.977,53.711,-6.348,-27.344
17.09,54.688,15.625,-16.602
9.277,60.059,30.762,-13.672
-2.93,55.664,10.742,-18.066
-5.859,48.828,-12.207,-25.879
12.695,47.852,-12.207,-22.461
28.809,49.316,13.184,-9.766
19.531,51.758,45.898,-4.883
8.789,54.199,30.762,-2.93
3.906,48.828,0.488,-6.348
16.602,45.41,-11.719,-12.207
32.227,46.387,-3.418,-5.859
26.367,48.34,24.414,0.488
19.043,55.664,40.527,3.418
12.695,53.711,38.086,-1.953
14.648,48.828,32.715,-6.348
32.227,49.805,52.246,6.348
30.762,47.852,68.848,13.184
20.996,48.828,61.523,8.789
16.113,48.34,43.945,0.0
22.949,44.922,29.785,-3.418
41.992,46.387,24.902,7.812
41.016,54.199,52.734,18.555
30.762,57.129,63.965,20.996
23.438,49.316,41.016,8.789
22.461,43.457,21.484,-1.465
38.086,45.898,31.25,7.812
46.387,51.758,63.965,18.066
36.133,50.293,52.734,19.531
17.578,40.527,31.738,7.812
15.137,36.621,36.133,-0.488
38.574,36.133,36.133,8.789
47.852,37.109,55.176,17.09
34.18,41.016,82.031,19.531
24.414,39.062,66.406,16.602
24.902,41.504,40.039,11.23
36.621,45.898,45.41,10.742
46.875,49.805,80.078,20.996
45.41,51.27,82.031,25.391
37.598,48.34,57.617,19.043
33.203,50.781,49.805,12.695
41.504,53.711,44.922,9.277
52.734,55.176,55.664,13.672
44.922,60.059,65.918,18.066
29.785,52.734,33.203,15.137
29.785,49.316,6.836,10.742
42.48,51.27,-7.324,9.766
58.105,46.875,7.812,19.531
49.805,47.852,46.875,22.949
32.227,44.434,33.203,17.578
24.902,39.551,16.113,14.648
31.738,35.645,25.391,21.484
49.805,31.25,41.504,26.367
47.363,27.832,49.805,29.297
30.762,29.785,40.527,28.32
19.043,34.18,29.297,16.602
25.879,35.156,36.133,10.254
39.551,32.715,32.715,20.02
34.668,33.203,57.617,31.25
27.344,31.25,55.176,31.738
22.461,25.391,14.648,27.344
31.25,28.32,15.137,21.484
45.41,34.18,36.133,25.879
41.504,35.645,42.48,33.203
36.133,27.344,27.344,34.668
27.832,22.461,-1.465,27.832
18.066,28.32,-1.953,2.441
33.203,36.621,13.672,0.488
42.48,41.016,33.691,17.09
30.273,39.062,50.781,24.414
22.949,40.039,36.133,19.531
24.902,38.086,19.531,13.672
40.527,32.227,23.926,24.414
45.898,34.668,42.48,36.133
39.062,41.016,44.922,40.527
28.32,37.598,29.785,36.621
27.344,35.645,18.555,29.785
44.434,34.668,8.301,32.715
53.711,34.668,26.855,40.527
48.34,44.922,49.316,41.504
39.062,47.363,30.762,33.691
34.18,41.016,4.883,25.879
45.41,38.086,20.02,28.809
55.664,45.41,49.805,37.598
42.48,49.805,39.551,36.621
30.762,46.875,34.668,27.832
27.344,43.945,33.691,18.066
37.109,41.504,40.039,21.484
52.246,47.363,53.711,32.227
41.992,54.199,43.457,39.062
30.762,55.176,29.785,37.109
27.832,54.688,22.949,27.832
39.062,55.664,11.719,27.832
56.641,57.617,20.02,34.18
50.293,62.5,41.016,36.621
39.551,64.453,35.645,34.668
35.156,57.617,10.254,25.391
45.41,56.152,4.883,23.438
65.43,61.035,19.531,38.574
54.199,59.57,35.156,44.434
38.574,54.199,19.043,38.574
34.668,53.223,-16.602,33.691
40.039,52.734,-12.207,30.762
59.57,59.57,24.902,37.109
58.105,70.312,45.41,39.551
41.992,73.73,39.551,33.203
33.691,70.801,31.738,26.855
40.039,66.895,18.555,18.555
57.129,67.871,28.809,28.32
57.129,70.801,53.223,40.527
41.016,68.848,43.457,35.645
29.785,65.918,20.02,27.832
29.297,64.941,6.836,22.461
43.945,63.965,29.785,26.855
47.363,62.5,60.547,31.738
33.691,57.617,57.617,28.809
22.461,51.758,36.621,24.414
26.367,57.129,24.414,21.973
47.852,60.059,32.227,32.715
60.059,58.105,44.434,38.574
51.27,61.523,68.848,40.527
35.156,58.594,61.035,34.18
30.762,54.688,30.762,28.32
46.387,57.617,43.945,38.086
55.176,60.547,74.219,47.852
45.41,56.152,63.477,47.363
30.762,54.199,50.293,34.668
21.484,57.617,35.645,22.949
34.668,55.176,11.719,30.762
51.27,56.641,24.902,42.969
39.551,61.035,50.781,41.016
22.949,54.688,34.18,33.691
17.578,53.711,18.066,30.273
30.762,57.129,25.391,30.762
41.504,57.617,49.316,36.133
36.621,59.57,51.758,40.527
30.762,60.059,23.438,37.109
22.949,60.059,-0.977,28.809
33.203,57.617,-2.93,28.809
44.434,58.105,23.926,32.715
25.879,57.129,44.922,27.344
15.625,53.223,20.996,21.973
11.719,57.129,11.719,12.695
18.066,57.129,31.738,10.254
43.945,56.641,36.621,22.461
42.969,62.012,53.223,35.156
31.25,57.617,56.152,35.645
27.344,52.734,45.41,28.32
32.715,54.199,40.527,26.855
51.758,54.688,49.805,37.109
53.223,53.223,77.637,44.434
40.039,48.828,78.125,41.504
29.785,49.805,61.035,34.668
35.156,50.293,52.246,28.809
