TP9,AF7,AF8,TP10
20.508,12.207,25.391,11.23
-1.465,15.625,35.156,-0.488
-0.977,15.625,36.133,4.883
25.879,15.625,34.18,4.883
31.738,16.113,27.344,9.766
17.09,14.648,19.531,12.207
4.395,12.695,20.02,0.0
-5.859,12.207,23.438,-4.395
18.066,15.137,25.879,5.859
37.598,15.625,22.461,17.578
27.832,14.16,17.578,11.719
5.859,18.066,23.438,9.277
-9.277,16.602,21.973,4.883
13.184,14.16,19.531,1.953
38.086,12.695,21.973,22.949
32.227,9.277,20.02,23.438
19.531,9.766,20.996,6.348
1.465,2.93,28.809,13.184
18.555,2.93,35.645,32.715
48.828,18.555,31.25,27.832
35.645,21.973,18.066,12.695
7.324,19.043,17.09,-1.953
0.488,19.531,17.09,-5.371
19.531,25.879,12.695,5.371
39.062,35.645,5.859,11.719
36.621,33.691,1.465,11.719
9.766,30.273,0.488,-6.348
-16.602,27.344,-8.789,-19.043
-3.906,24.902,-13.672,-14.648
24.414,23.438,-11.719,-4.395
18.066,22.461,-13.184,8.789
0.488,25.879,-9.766,7.324
-17.578,26.367,-5.859,-7.324
-15.625,23.926,-8.301,-9.277
19.043,22.461,-11.23,-2.441
29.785,22.461,-17.09,11.23
14.648,24.902,-18.066,22.461
-1.465,26.367,-19.531,8.301
-3.906,26.855,-20.508,-3.906
21.973,26.855,-20.996,5.859
25.391,24.414,-18.555,16.602
9.277,21.973,-15.625,18.066
-2.93,14.16,-15.137,8.301
-14.648,11.23,-9.766,-4.883
5.371,15.137,-3.906,4.395
18.555,12.207,-7.812,19.531
4.883,8.789,-10.254,12.695
-7.324,9.277,-2.93,3.418
-11.23,12.207,-5.371,4.395
9.766,15.625,-6.348,5.371
30.273,15.137,-9.766,9.277
23.438,19.043,-15.625,9.277
3.418,23.926,-19.531,-2.93
-16.113,21.484,-21.973,-11.719
4.395,19.531,-13.184,-5.371
31.25,17.578,-9.277,3.906
15.625,17.578,-6.348,7.812
-0.977,19.531,-2.93,3.418
-7.324,18.066,-5.859,-3.906
4.883,17.09,-3.418,-2.441
30.762,17.578,-1.953,4.883
27.832,14.648,-2.441,11.23
12.207,11.719,-3.906,5.371
-1.465,11.719,-6.836,-6.348
0.977,9.277,1.465,-2.93
30.762,12.695,8.301,13.672
28.809,17.09,9.277,23.438
10.742,14.648,9.766,20.508
-5.859,11.719,4.883,9.277
-1.953,9.766,8.301,0.488
30.762,9.766,14.16,12.207
27.344,9.277,10.742,13.184
10.742,10.254,8.789,10.254
7.812,11.719,8.789,4.883
7.812,12.207,11.719,-9.277
29.297,13.184,14.16,2.93
28.32,13.184,12.207,15.137
8.789,11.23,9.766,8.301
-7.324,10.254,14.648,2.441
-5.859,14.648,14.648,-2.93
22.461,18.555,13.672,-5.371
30.273,15.625,14.16,10.254
6.836,10.254,9.766,16.602
-7.812,8.301,6.836,5.371
-2.441,13.184,7.324,1.953
24.414,15.137,7.812,20.508
37.109,11.719,4.395,27.832
20.02,14.16,7.324,17.578
11.23,18.066,9.766,16.113
5.859,19.043,11.23,15.625
17.578,21.973,14.648,14.648
33.691,23.438,17.578,19.531
22.949,24.902,20.02,17.578
9.277,27.344,21.973,18.555
-8.301,24.902,15.625,13.184
0.488,22.949,11.719,5.371
28.809,20.02,12.695,12.695
20.508,13.672,11.23,14.648
-0.488,14.648,14.16,9.277
-16.113,17.578,15.137,2.441
-5.859,18.066,13.672,-4.883
25.879,19.043,14.16,13.184
22.949,19.043,18.555,20.996
6.348,17.578,26.367,13.672
0.0,12.695,26.367,10.254
2.93,12.207,29.785,1.465
25.391,12.207,29.297,18.066
22.461,9.766,25.391,29.297
11.719,15.137,27.344,14.16
-8.789,20.02,26.367,2.441
-11.23,17.09,21.973,3.418
26.855,16.602,20.508,15.137
31.25,19.043,16.113,20.996
16.602,20.508,14.16,20.996
6.836,20.508,15.137,14.648
3.906,20.508,18.555,7.324
32.227,21.973,16.602,13.184
38.086,20.996,13.184,22.949
25.391,20.02,20.02,23.438
14.16,20.02,17.578,15.137
13.184,18.555,15.137,18.066
29.785,14.648,26.367,20.508
26.367,10.254,30.273,13.184
13.184,7.324,31.25,17.09
1.465,9.766,31.738,10.742
-3.906,12.207,25.391,-4.395
14.648,9.277,20.02,0.977
25.391,7.812,13.184,12.207
13.184,8.789,13.672,9.766
-6.348,10.254,8.789,-5.371
-15.625,11.23,1.465,-9.766
20.02,8.789,-0.488,2.441
44.922,8.789,0.488,16.602
29.785,13.184,6.348,22.461
16.602,16.113,4.883,17.578
5.371,15.625,5.371,11.23
21.484,11.719,14.648,15.625
54.688,7.812,10.742,27.344
46.387,10.254,12.695,25.391
19.043,10.742,16.113,17.578
-2.441,5.371,8.301,10.254
9.766,1.953,12.207,12.695
36.133,4.883,21.484,29.297
32.227,11.719,26.855,35.156
20.996,12.695,33.691,23.438
0.488,7.812,28.32,10.254
4.395,8.301,26.855,10.254
34.18,10.742,26.367,24.414
26.855,11.23,14.16,27.344
10.742,11.23,6.348,19.531
-0.488,13.184,6.348,15.137
-2.93,15.625,12.207,7.324
22.461,17.09,11.719,10.742
31.25,14.648,7.812,21.973
