TP9,AF7,AF8,TP10
55.664,1.465,-362.793,31.25
52.246,5.859,-116.211,30.762
47.852,10.254,-412.598,29.297
37.109,8.301,-788.086,31.738
43.945,3.906,-815.43,25.879
51.758,4.883,-562.5,20.996
55.176,4.395,-336.426,20.996
43.457,2.93,-431.641,22.461
28.809,4.395,-614.258,27.344
33.203,8.789,-594.727,18.066
39.062,14.648,-536.621,4.395
52.734,14.16,-281.25,14.648
40.527,14.648,-218.75,16.602
24.902,17.578,-559.57,7.812
34.668,10.742,-586.426,9.766
46.387,9.277,-316.406,16.113
49.316,11.719,-23.926,19.531
38.574,1.465,-244.141,16.113
20.508,-4.883,-693.848,12.695
29.297,0.977,-702.637,13.672
50.293,3.906,-423.34,10.254
56.152,2.93,-16.602,8.301
45.41,0.977,-44.434,14.648
36.133,2.93,-465.332,17.578
35.645,6.836,-519.531,9.277
36.133,2.93,-468.75,6.348
46.387,2.93,-233.398,6.836
38.574,4.883,25.879,5.371
17.578,1.953,-283.203,3.906
17.09,3.906,-539.551,6.348
35.156,7.812,-464.355,8.301
40.527,9.277,-156.738,11.23
34.18,9.766,104.492,12.695
24.902,11.719,-160.645,1.953
26.855,11.719,-406.738,0.0
44.434,13.184,-200.195,7.324
46.875,15.625,171.387,12.207
46.387,13.672,281.25,15.625
37.598,13.184,-132.812,8.301
26.367,18.066,-392.578,1.465
42.969,16.602,-250.488,5.859
49.805,12.207,-40.527,5.859
41.504,12.695,83.984,6.348
32.715,13.184,-28.32,9.277
29.785,13.672,-215.332,2.93
41.016,13.672,-205.566,-0.488
49.316,15.137,-58.105,4.883
43.457,14.16,199.219,8.789
28.32,13.672,44.434,10.254
17.578,14.648,-214.355,11.719
31.25,14.16,-67.871,12.207
42.48,16.602,173.828,11.719
44.434,21.484,449.707,13.672
31.25,17.578,150.879,12.207
11.719,13.672,-218.262,6.348
18.555,13.184,-39.062,5.859
30.273,12.207,70.801,8.301
34.18,16.113,256.836,9.277
19.531,18.555,334.961,8.301
1.953,14.648,24.414,3.906
15.137,15.625,-1.465,-0.488
36.621,18.555,270.508,2.441
41.504,20.02,475.098,8.301
25.391,19.043,288.574,5.859
17.578,19.043,-4.395,4.883
23.926,20.508,-88.379,6.836
37.109,19.043,173.828,9.766
46.387,19.043,584.473,5.859
39.062,21.973,512.207,6.836
25.879,22.461,118.164,13.672
30.762,25.391,9.277,15.137
49.805,28.32,113.77,9.766
54.199,21.973,378.418,12.695
39.062,18.066,545.41,20.02
24.902,19.531,260.254,15.625
25.879,20.508,99.609,13.184
36.133,21.484,245.117,16.602
36.133,21.973,453.125,19.531
22.949,18.555,419.922,20.996
14.648,15.137,141.602,12.695
22.461,19.531,86.426,8.789
34.18,22.461,192.871,8.789
36.133,23.926,428.711,6.348
26.367,22.461,522.949,5.371
9.766,18.555,204.59,0.488
10.742,19.043,40.527,-0.488
23.438,19.043,120.117,1.465
33.691,18.066,267.09,0.977
42.48,21.973,484.863,4.883
28.809,22.949,214.355,5.371
14.648,18.555,-104.98,2.93
25.391,19.043,92.773,3.906
38.086,17.09,249.512,9.277
36.133,16.602,441.406,0.488
28.32,20.996,361.328,-4.395
19.531,19.531,-13.672,-2.93
23.438,19.531,22.461,-3.906
40.039,21.973,318.359,7.324
44.922,21.484,519.043,4.883
38.574,20.996,284.668,-4.395
31.25,25.391,-95.215,-0.977
39.551,21.973,-99.121,0.977
55.176,20.996,-31.738,4.395
63.965,26.367,244.629,11.23
43.945,20.996,328.125,8.301
31.25,20.996,-32.715,4.395
41.016,25.391,-85.938,1.465
39.062,21.484,179.199,8.301
28.809,21.973,482.91,9.766
14.648,24.414,350.098,1.465
11.719,19.531,-100.098,-0.977
21.484,17.578,-193.848,-0.488
26.367,16.602,41.992,4.395
25.391,13.184,146.973,6.836
9.766,20.996,37.598,4.883
-12.695,25.879,-210.449,-0.488
-16.602,21.484,-222.656,-0.488
-6.836,21.973,-43.457,1.465
-2.93,20.508,165.527,1.953
-20.02,14.648,222.656,0.0
-35.645,11.23,-218.262,0.488
-34.18,14.648,-389.648,6.348
-18.555,19.043,-174.805,3.418
-3.418,18.066,4.883,4.883
-26.855,17.09,166.016,4.883
-49.316,21.973,-277.344,-3.906
-39.062,22.461,-493.652,-5.371
-25.391,21.973,-163.086,-4.883
