TP9,AF7,AF8,TP10
-1.465,6.836,12.695,-77.148
8.301,6.348,-2.93,-81.055
20.996,7.812,0.488,-75.195
20.508,6.836,16.113,-64.453
11.719,9.766,10.742,-62.988
6.348,9.277,3.906,-70.801
13.184,8.789,0.977,-76.172
28.809,13.672,2.93,-75.684
33.203,17.09,15.137,-71.777
22.949,20.508,18.066,-69.824
16.113,16.113,6.348,-76.66
17.09,11.23,0.488,-83.496
29.297,11.23,4.883,-72.754
38.086,16.113,16.602,-63.477
28.32,19.531,6.836,-65.43
20.02,22.461,-4.395,-63.965
18.555,19.531,2.93,-68.359
37.109,19.043,4.883,-58.105
46.875,25.879,5.859,-52.246
27.344,27.832,7.324,-58.105
13.672,23.926,9.766,-50.781
9.277,18.555,0.977,-56.152
21.973,22.949,-3.906,-53.711
35.645,30.762,8.789,-43.457
24.414,32.715,13.672,-43.457
11.23,28.32,5.859,-43.457
0.488,22.949,-2.93,-44.922
7.812,17.09,-12.207,-35.645
30.762,16.602,-8.789,-31.738
25.879,17.09,-3.906,-29.297
9.766,13.184,-7.324,-28.32
3.906,10.742,-8.789,-40.039
12.695,7.324,-16.113,-45.898
27.344,3.418,-15.137,-40.527
22.949,3.906,6.348,-33.203
13.184,5.371,8.789,-36.133
8.301,8.301,-5.859,-41.016
18.555,11.23,-8.789,-38.574
33.203,5.859,1.953,-29.785
29.785,5.371,13.184,-19.531
16.602,4.883,5.371,-18.066
6.836,-0.488,-8.789,-30.762
14.648,-0.488,-7.812,-35.645
30.762,-1.953,-1.465,-31.25
33.203,4.395,13.184,-28.809
27.344,7.812,15.625,-32.227
17.578,2.441,3.906,-39.062
17.578,4.395,-6.836,-43.457
28.32,7.812,-1.465,-39.062
30.273,14.648,11.719,-40.039
21.973,16.602,2.441,-47.363
12.207,13.184,-1.465,-49.316
17.09,14.16,-0.488,-48.828
32.715,15.137,2.93,-46.387
40.039,15.137,13.672,-37.109
34.18,15.137,13.184,-32.227
23.926,15.137,6.836,-42.969
16.602,12.695,4.883,-53.223
28.809,14.16,5.859,-53.223
36.621,19.531,10.254,-50.781
24.414,21.973,10.742,-49.316
15.625,19.531,-0.488,-50.781
10.254,18.066,-1.953,-55.176
23.438,19.531,-1.465,-51.758
41.504,20.996,3.418,-45.41
29.297,21.484,2.441,-50.293
13.184,23.438,-3.418,-58.594
7.812,24.902,0.0,-56.152
16.113,20.996,-4.883,-58.594
26.367,19.531,0.488,-65.43
15.625,20.02,15.625,-58.594
4.883,15.137,11.23,-57.617
3.418,12.207,-1.465,-71.289
16.113,11.23,-4.883,-75.195
29.297,8.789,2.93,-63.477
18.066,9.277,8.301,-61.035
9.766,8.789,-3.418,-61.523
11.23,9.766,-10.254,-62.5
13.672,8.789,-6.836,-63.965
27.832,5.859,-1.465,-58.594
26.855,7.812,12.695,-54.688
10.254,6.836,11.23,-61.523
2.93,6.836,-3.418,-71.777
7.324,4.883,-8.789,-70.801
20.996,2.441,1.465,-64.453
21.973,8.789,9.277,-66.406
8.789,10.742,3.906,-69.824
0.977,8.301,-4.883,-72.754
10.254,11.719,-6.836,-73.242
26.855,12.695,1.465,-71.289
29.297,13.672,7.324,-62.988
18.555,19.043,1.465,-62.5
8.789,21.973,-6.348,-73.242
10.742,22.461,-5.371,-72.754
33.691,22.461,-3.906,-66.406
39.062,24.414,5.371,-63.965
25.391,21.973,6.348,-61.523
12.695,13.672,-0.977,-67.871
8.301,12.207,-1.465,-72.754
25.879,16.113,6.836,-65.918
31.25,20.508,15.137,-62.012
22.461,19.531,6.836,-63.965
14.648,17.578,2.441,-61.523
10.742,20.508,5.371,-64.941
26.367,20.508,5.371,-63.965
34.18,16.113,8.789,-56.641
24.414,15.137,13.672,-56.641
15.625,13.672,8.301,-62.5
8.789,12.207,4.395,-69.336
23.438,14.648,2.93,-69.336
34.18,17.578,5.859,-63.477
20.02,20.996,10.254,-62.5
9.277,21.484,-0.977,-65.918
1.465,16.602,-4.883,-66.895
8.789,14.16,1.953,-66.895
23.926,19.043,17.09,-63.965
24.902,19.531,22.461,-55.176
13.672,11.23,20.02,-53.711
-6.836,4.395,20.508,-68.848
-2.441,1.465,19.531,-75.195
19.531,2.441,29.785,-67.871
13.672,2.93,34.668,-62.5
-0.977,1.465,26.855,-62.988
-4.395,2.93,24.414,-72.266
7.812,4.395,17.09,-67.383
24.902,2.441,7.324,-62.5
31.738,4.883,16.113,-62.012
31.738,11.719,22.461,-55.664
24.902,11.719,16.602,-62.988
31.738,14.648,2.93,-66.895
45.41,14.648,1.953,-57.617
48.34,11.719,9.766,-56.641
37.598,15.137,2.93,-55.664
22.949,16.602,1.465,-56.641
26.855,13.672,-1.465,-62.012
46.875,13.672,4.883,-58.594
51.27,16.113,11.719,-50.293
32.715,13.672,2.93,-49.805
18.555,11.23,1.953,-58.594
19.531,11.23,3.418,-68.359
33.691,13.184,0.0,-68.359
38.574,17.09,8.301,-64.941
29.297,15.625,8.301,-64.941
16.602,15.137,-6.348,-73.73
