TP9,AF7,AF8,TP10
-14.648,28.809,33.203,0.0
-9.277,27.344,29.297,-0.488
-11.719,28.32,28.32,0.0
-15.625,28.809,32.227,6.836
-10.254,28.809,27.832,4.883
-4.883,26.367,28.32,0.488
-4.395,24.414,33.203,4.395
-12.207,24.902,29.297,1.953
-16.113,25.391,28.809,-3.418
-11.719,24.902,33.203,-0.488
-6.348,23.926,30.273,0.488
-3.418,21.484,30.273,3.418
1.465,20.996,31.738,8.789
5.859,21.484,28.809,10.742
8.301,21.484,27.344,13.184
12.207,21.973,29.785,14.648
18.555,23.926,33.203,19.531
22.949,25.879,34.18,24.902
21.484,26.367,33.203,21.484
17.578,25.391,33.691,20.02
13.672,25.391,34.668,18.066
11.23,25.391,34.668,13.184
9.766,26.855,30.762,15.137
8.789,23.926,27.344,14.648
11.23,22.949,32.715,9.766
11.719,25.391,36.133,12.695
6.348,25.391,30.273,10.742
5.371,24.414,27.832,8.789
4.395,20.996,29.785,8.789
2.441,20.996,29.785,0.977
-1.465,21.484,29.297,-0.977
-4.883,19.531,28.809,-1.953
-1.465,19.531,28.809,2.441
1.465,20.996,31.738,9.766
0.488,21.484,34.668,14.16
1.465,21.973,33.691,17.578
-1.953,20.508,31.25,16.602
-4.395,19.043,29.785,17.09
-4.395,21.973,31.25,15.625
0.977,23.926,37.109,16.113
5.371,22.949,41.016,20.02
11.719,23.926,38.574,24.414
23.926,23.926,34.18,25.879
23.926,26.367,36.133,25.879
21.484,27.832,38.574,27.344
26.367,27.832,35.645,27.344
31.738,29.785,31.25,21.484
33.691,30.273,30.273,18.066
33.203,28.809,27.344,19.531
31.25,27.832,23.926,13.672
27.832,28.809,26.855,12.207
25.879,27.832,28.809,17.09
26.855,26.855,29.785,20.02
20.996,27.832,30.273,17.578
11.23,27.832,31.25,11.719
10.254,26.855,30.273,10.742
8.301,27.344,29.785,12.207
-0.977,28.32,28.32,10.254
-6.348,27.344,22.949,3.906
-5.371,26.367,24.902,0.977
